Feature,Coefficient,Compartment,Feature_Type,Measurement,Channel,Rank
Cytoplasm_Texture_InfoMeas2_Mitochondria_3_00_256,0.00268949542838788,Cytoplasm,Texture,InfoMeas2,Mitochondria,219
Cytoplasm_RadialDistribution_ZernikeMagnitude_PM_4_0,0.002288085261537727,Cytoplasm,RadialDistribution,ZernikeMagnitude,PM,220
Cells_AreaShape_Extent,0.002166393899712081,Cells,AreaShape,Extent,,221
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_9_9,0.0020546060704743924,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,222
Nuclei_AreaShape_Zernike_9_7,0.0013461568326170383,Nuclei,AreaShape,Zernike,9,223
Cytoplasm_Texture_Contrast_Actin_3_00_256,0.001183905376758898,Cytoplasm,Texture,Contrast,Actin,224
Cells_AreaShape_FormFactor,5.1741891720509544e-05,Cells,AreaShape,FormFactor,,225
Cytoplasm_RadialDistribution_ZernikeMagnitude_PM_8_4,1.0007605271758483e-08,Cytoplasm,RadialDistribution,ZernikeMagnitude,PM,226
Cytoplasm_Correlation_Correlation_Hoechst_Mitochondria,8.053409309920868e-09,Cytoplasm,Correlation,Correlation,Hoechst,227
Nuclei_AreaShape_Zernike_8_2,7.2055127260417206e-09,Nuclei,AreaShape,Zernike,8,228
Nuclei_Correlation_K_Hoechst_PM,5.2228115894178075e-09,Nuclei,Correlation,K,Hoechst,229
Nuclei_Texture_InfoMeas2_Actin_3_03_256,1.7115875128430871e-09,Nuclei,Texture,InfoMeas2,Actin,230
Cells_RadialDistribution_ZernikeMagnitude_Mitochondria_8_0,0.0,Cells,RadialDistribution,ZernikeMagnitude,Mitochondria,231
Cells_RadialDistribution_ZernikeMagnitude_Hoechst_9_3,0.0,Cells,RadialDistribution,ZernikeMagnitude,Hoechst,232
Nuclei_RadialDistribution_MeanFrac_ER_2of4,0.0,Nuclei,RadialDistribution,MeanFrac,ER,233
Nuclei_RadialDistribution_RadialCV_Mitochondria_4of4,0.0,Nuclei,RadialDistribution,RadialCV,Mitochondria,234
Nuclei_Correlation_Overlap_Actin_PM,0.0,Nuclei,Correlation,Overlap,Actin,235
Cytoplasm_RadialDistribution_ZernikeMagnitude_PM_6_6,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,PM,236
Cytoplasm_Intensity_StdIntensityEdge_ER,0.0,Cytoplasm,Intensity,StdIntensityEdge,ER,237
Cytoplasm_Texture_Correlation_Mitochondria_3_01_256,0.0,Cytoplasm,Texture,Correlation,Mitochondria,238
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_3_1,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,239
Cytoplasm_RadialDistribution_ZernikeMagnitude_ER_6_2,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,ER,240
Cytoplasm_RadialDistribution_MeanFrac_ER_2of4,0.0,Cytoplasm,RadialDistribution,MeanFrac,ER,241
Nuclei_RadialDistribution_ZernikeMagnitude_PM_3_3,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,PM,242
Cells_RadialDistribution_ZernikeMagnitude_ER_9_3,0.0,Cells,RadialDistribution,ZernikeMagnitude,ER,243
Cells_Texture_AngularSecondMoment_Hoechst_3_00_256,0.0,Cells,Texture,AngularSecondMoment,Hoechst,244
Nuclei_Correlation_RWC_PM_ER,0.0,Nuclei,Correlation,RWC,PM,245
Nuclei_Intensity_MedianIntensity_Hoechst,0.0,Nuclei,Intensity,MedianIntensity,Hoechst,246
Nuclei_Texture_DifferenceEntropy_Mitochondria_3_00_256,0.0,Nuclei,Texture,DifferenceEntropy,Mitochondria,247
Nuclei_Texture_InverseDifferenceMoment_Actin_3_00_256,0.0,Nuclei,Texture,InverseDifferenceMoment,Actin,248
Cytoplasm_Texture_DifferenceEntropy_Actin_3_00_256,0.0,Cytoplasm,Texture,DifferenceEntropy,Actin,249
Cells_RadialDistribution_ZernikeMagnitude_Hoechst_8_0,0.0,Cells,RadialDistribution,ZernikeMagnitude,Hoechst,250
Nuclei_RadialDistribution_ZernikeMagnitude_PM_9_7,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,PM,251
Nuclei_RadialDistribution_ZernikeMagnitude_Mitochondria_9_7,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Mitochondria,252
Cells_Intensity_MassDisplacement_Hoechst,0.0,Cells,Intensity,MassDisplacement,Hoechst,253
Cells_Intensity_UpperQuartileIntensity_Hoechst,0.0,Cells,Intensity,UpperQuartileIntensity,Hoechst,254
Cells_RadialDistribution_RadialCV_Hoechst_2of4,0.0,Cells,RadialDistribution,RadialCV,Hoechst,255
Nuclei_Texture_Correlation_Hoechst_3_02_256,0.0,Nuclei,Texture,Correlation,Hoechst,256
Cells_RadialDistribution_ZernikeMagnitude_Actin_9_7,0.0,Cells,RadialDistribution,ZernikeMagnitude,Actin,257
Cells_Correlation_Correlation_Hoechst_PM,0.0,Cells,Correlation,Correlation,Hoechst,258
Nuclei_Intensity_LowerQuartileIntensity_PM,0.0,Nuclei,Intensity,LowerQuartileIntensity,PM,259
Cytoplasm_AreaShape_Zernike_9_3,0.0,Cytoplasm,AreaShape,Zernike,9,260
Cells_Texture_SumVariance_Hoechst_3_00_256,0.0,Cells,Texture,SumVariance,Hoechst,261
Nuclei_RadialDistribution_ZernikeMagnitude_Mitochondria_9_5,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Mitochondria,262
Nuclei_Texture_DifferenceEntropy_Actin_3_02_256,0.0,Nuclei,Texture,DifferenceEntropy,Actin,263
Cells_Texture_AngularSecondMoment_PM_3_01_256,0.0,Cells,Texture,AngularSecondMoment,PM,264
Cells_RadialDistribution_FracAtD_PM_1of4,0.0,Cells,RadialDistribution,FracAtD,PM,265
Nuclei_RadialDistribution_ZernikeMagnitude_ER_8_2,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,ER,266
Cytoplasm_Texture_InfoMeas1_ER_3_01_256,0.0,Cytoplasm,Texture,InfoMeas1,ER,267
Cells_RadialDistribution_ZernikeMagnitude_PM_7_3,0.0,Cells,RadialDistribution,ZernikeMagnitude,PM,268
Cytoplasm_RadialDistribution_ZernikeMagnitude_PM_7_5,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,PM,269
Nuclei_Texture_Contrast_PM_3_03_256,0.0,Nuclei,Texture,Contrast,PM,270
Cells_RadialDistribution_ZernikeMagnitude_PM_9_9,0.0,Cells,RadialDistribution,ZernikeMagnitude,PM,271
Cells_Intensity_StdIntensityEdge_PM,0.0,Cells,Intensity,StdIntensityEdge,PM,272
Nuclei_Texture_Contrast_PM_3_01_256,0.0,Nuclei,Texture,Contrast,PM,273
Cytoplasm_RadialDistribution_FracAtD_Actin_2of4,0.0,Cytoplasm,RadialDistribution,FracAtD,Actin,274
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_1_1,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,275
Nuclei_RadialDistribution_ZernikeMagnitude_Actin_6_6,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Actin,276
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_7_3,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,277
Cytoplasm_RadialDistribution_ZernikeMagnitude_Mitochondria_5_3,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Mitochondria,278
Cells_Intensity_MaxIntensityEdge_Hoechst,0.0,Cells,Intensity,MaxIntensityEdge,Hoechst,279
Nuclei_Neighbors_AngleBetweenNeighbors_Adjacent,0.0,Nuclei,Neighbors,AngleBetweenNeighbors,Adjacent,280
Cells_Correlation_RWC_PM_ER,0.0,Cells,Correlation,RWC,PM,281
Cytoplasm_Texture_Correlation_ER_3_00_256,0.0,Cytoplasm,Texture,Correlation,ER,282
Cytoplasm_Texture_Correlation_ER_3_02_256,0.0,Cytoplasm,Texture,Correlation,ER,283
Cytoplasm_Texture_InfoMeas2_Hoechst_3_03_256,0.0,Cytoplasm,Texture,InfoMeas2,Hoechst,284
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_8_4,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,285
Nuclei_Texture_Correlation_ER_3_00_256,0.0,Nuclei,Texture,Correlation,ER,286
Cytoplasm_RadialDistribution_MeanFrac_ER_3of4,0.0,Cytoplasm,RadialDistribution,MeanFrac,ER,287
Cells_Texture_InfoMeas2_PM_3_01_256,0.0,Cells,Texture,InfoMeas2,PM,288
Cytoplasm_Intensity_UpperQuartileIntensity_ER,0.0,Cytoplasm,Intensity,UpperQuartileIntensity,ER,289
Cells_RadialDistribution_ZernikeMagnitude_Actin_5_1,0.0,Cells,RadialDistribution,ZernikeMagnitude,Actin,290
Cytoplasm_Granularity_2_PM,0.0,Cytoplasm,Granularity,2,PM,291
Nuclei_RadialDistribution_MeanFrac_PM_4of4,0.0,Nuclei,RadialDistribution,MeanFrac,PM,292
Cytoplasm_Intensity_LowerQuartileIntensity_Mitochondria,0.0,Cytoplasm,Intensity,LowerQuartileIntensity,Mitochondria,293
Nuclei_RadialDistribution_ZernikeMagnitude_Mitochondria_6_4,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Mitochondria,294
Cells_RadialDistribution_FracAtD_Mitochondria_3of4,0.0,Cells,RadialDistribution,FracAtD,Mitochondria,295
Cytoplasm_RadialDistribution_ZernikeMagnitude_ER_1_1,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,ER,296
Nuclei_RadialDistribution_ZernikeMagnitude_PM_9_3,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,PM,297
Cytoplasm_RadialDistribution_ZernikeMagnitude_ER_2_2,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,ER,298
Nuclei_RadialDistribution_ZernikeMagnitude_ER_6_2,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,ER,299
Cells_RadialDistribution_MeanFrac_Hoechst_4of4,0.0,Cells,RadialDistribution,MeanFrac,Hoechst,300
Nuclei_RadialDistribution_ZernikeMagnitude_Actin_9_1,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Actin,301
Nuclei_RadialDistribution_ZernikeMagnitude_ER_8_8,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,ER,302
Nuclei_RadialDistribution_MeanFrac_Actin_2of4,0.0,Nuclei,RadialDistribution,MeanFrac,Actin,303
Cells_RadialDistribution_ZernikeMagnitude_Mitochondria_9_7,0.0,Cells,RadialDistribution,ZernikeMagnitude,Mitochondria,304
Cells_Correlation_RWC_Actin_ER,0.0,Cells,Correlation,RWC,Actin,305
Cells_AreaShape_Eccentricity,0.0,Cells,AreaShape,Eccentricity,,306
Cytoplasm_RadialDistribution_RadialCV_Mitochondria_3of4,0.0,Cytoplasm,RadialDistribution,RadialCV,Mitochondria,307
Nuclei_Texture_Correlation_Hoechst_3_03_256,0.0,Nuclei,Texture,Correlation,Hoechst,308
Nuclei_RadialDistribution_ZernikeMagnitude_PM_9_5,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,PM,309
Nuclei_Texture_Correlation_Actin_3_03_256,0.0,Nuclei,Texture,Correlation,Actin,310
Nuclei_Intensity_StdIntensityEdge_Actin,0.0,Nuclei,Intensity,StdIntensityEdge,Actin,311
Cells_RadialDistribution_MeanFrac_Mitochondria_3of4,0.0,Cells,RadialDistribution,MeanFrac,Mitochondria,312
Cytoplasm_RadialDistribution_ZernikeMagnitude_Mitochondria_4_2,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Mitochondria,313
Cells_RadialDistribution_MeanFrac_ER_3of4,0.0,Cells,RadialDistribution,MeanFrac,ER,314
Nuclei_Texture_InfoMeas1_ER_3_00_256,0.0,Nuclei,Texture,InfoMeas1,ER,315
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_7_3,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,316
Cells_RadialDistribution_ZernikeMagnitude_Actin_9_5,0.0,Cells,RadialDistribution,ZernikeMagnitude,Actin,317
Cytoplasm_RadialDistribution_ZernikeMagnitude_PM_2_0,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,PM,318
Nuclei_Texture_SumVariance_Actin_3_01_256,0.0,Nuclei,Texture,SumVariance,Actin,319
Cytoplasm_RadialDistribution_FracAtD_ER_2of4,0.0,Cytoplasm,RadialDistribution,FracAtD,ER,320
Nuclei_AreaShape_Zernike_4_2,0.0,Nuclei,AreaShape,Zernike,4,321
Nuclei_Correlation_K_PM_ER,0.0,Nuclei,Correlation,K,PM,322
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_8_0,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,323
Cells_RadialDistribution_MeanFrac_Actin_3of4,0.0,Cells,RadialDistribution,MeanFrac,Actin,324
Cells_RadialDistribution_RadialCV_ER_1of4,0.0,Cells,RadialDistribution,RadialCV,ER,325
Nuclei_Texture_InverseDifferenceMoment_PM_3_00_256,0.0,Nuclei,Texture,InverseDifferenceMoment,PM,326
Nuclei_RadialDistribution_ZernikeMagnitude_Actin_2_0,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Actin,327
Nuclei_AreaShape_Compactness,0.0,Nuclei,AreaShape,Compactness,,328
Cytoplasm_RadialDistribution_MeanFrac_ER_4of4,0.0,Cytoplasm,RadialDistribution,MeanFrac,ER,329
Cytoplasm_Texture_InfoMeas2_Hoechst_3_00_256,0.0,Cytoplasm,Texture,InfoMeas2,Hoechst,330
Cells_RadialDistribution_ZernikeMagnitude_Actin_5_5,0.0,Cells,RadialDistribution,ZernikeMagnitude,Actin,331
Cytoplasm_Texture_Contrast_ER_3_03_256,0.0,Cytoplasm,Texture,Contrast,ER,332
Nuclei_RadialDistribution_ZernikeMagnitude_ER_6_4,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,ER,333
Nuclei_Texture_InfoMeas1_ER_3_03_256,0.0,Nuclei,Texture,InfoMeas1,ER,334
Nuclei_RadialDistribution_ZernikeMagnitude_PM_4_4,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,PM,335
Nuclei_Texture_DifferenceEntropy_PM_3_00_256,0.0,Nuclei,Texture,DifferenceEntropy,PM,336
Cells_RadialDistribution_RadialCV_Hoechst_1of4,0.0,Cells,RadialDistribution,RadialCV,Hoechst,337
Nuclei_RadialDistribution_FracAtD_PM_2of4,0.0,Nuclei,RadialDistribution,FracAtD,PM,338
Nuclei_Intensity_IntegratedIntensity_ER,0.0,Nuclei,Intensity,IntegratedIntensity,ER,339
Cytoplasm_RadialDistribution_RadialCV_Mitochondria_2of4,0.0,Cytoplasm,RadialDistribution,RadialCV,Mitochondria,340
Cytoplasm_Intensity_MassDisplacement_Actin,0.0,Cytoplasm,Intensity,MassDisplacement,Actin,341
Cytoplasm_RadialDistribution_ZernikeMagnitude_Mitochondria_6_0,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Mitochondria,342
Nuclei_Intensity_MassDisplacement_Actin,0.0,Nuclei,Intensity,MassDisplacement,Actin,343
Cells_RadialDistribution_FracAtD_PM_3of4,0.0,Cells,RadialDistribution,FracAtD,PM,344
Cytoplasm_Intensity_IntegratedIntensityEdge_Hoechst,0.0,Cytoplasm,Intensity,IntegratedIntensityEdge,Hoechst,345
Nuclei_Texture_Correlation_PM_3_03_256,0.0,Nuclei,Texture,Correlation,PM,346
Nuclei_RadialDistribution_ZernikeMagnitude_ER_7_3,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,ER,347
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_9_1,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,348
Nuclei_RadialDistribution_ZernikeMagnitude_ER_8_0,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,ER,349
Cells_Texture_Correlation_Hoechst_3_00_256,0.0,Cells,Texture,Correlation,Hoechst,350
Nuclei_RadialDistribution_ZernikeMagnitude_ER_8_4,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,ER,351
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_7_5,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,352
Nuclei_RadialDistribution_RadialCV_Hoechst_2of4,0.0,Nuclei,RadialDistribution,RadialCV,Hoechst,353
Cells_RadialDistribution_ZernikeMagnitude_PM_8_2,0.0,Cells,RadialDistribution,ZernikeMagnitude,PM,354
Cells_RadialDistribution_FracAtD_Hoechst_2of4,0.0,Cells,RadialDistribution,FracAtD,Hoechst,355
Cytoplasm_RadialDistribution_ZernikeMagnitude_PM_4_2,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,PM,356
Nuclei_Correlation_K_Hoechst_ER,0.0,Nuclei,Correlation,K,Hoechst,357
Nuclei_RadialDistribution_MeanFrac_PM_1of4,0.0,Nuclei,RadialDistribution,MeanFrac,PM,358
Cytoplasm_RadialDistribution_FracAtD_PM_2of4,0.0,Cytoplasm,RadialDistribution,FracAtD,PM,359
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_8_2,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,360
Cytoplasm_Texture_InfoMeas2_Hoechst_3_01_256,0.0,Cytoplasm,Texture,InfoMeas2,Hoechst,361
Nuclei_RadialDistribution_ZernikeMagnitude_Actin_9_3,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Actin,362
Nuclei_AreaShape_Zernike_4_0,0.0,Nuclei,AreaShape,Zernike,4,363
Nuclei_Correlation_K_Actin_ER,0.0,Nuclei,Correlation,K,Actin,364
Cytoplasm_Correlation_RWC_Mitochondria_ER,0.0,Cytoplasm,Correlation,RWC,Mitochondria,365
Nuclei_AreaShape_Zernike_3_1,0.0,Nuclei,AreaShape,Zernike,3,366
Cytoplasm_RadialDistribution_FracAtD_Hoechst_1of4,0.0,Cytoplasm,RadialDistribution,FracAtD,Hoechst,367
Cells_RadialDistribution_ZernikeMagnitude_Mitochondria_7_7,0.0,Cells,RadialDistribution,ZernikeMagnitude,Mitochondria,368
Cells_RadialDistribution_ZernikeMagnitude_Mitochondria_6_0,0.0,Cells,RadialDistribution,ZernikeMagnitude,Mitochondria,369
Nuclei_AreaShape_Zernike_5_5,0.0,Nuclei,AreaShape,Zernike,5,370
Cells_Intensity_MeanIntensityEdge_PM,0.0,Cells,Intensity,MeanIntensityEdge,PM,371
Cells_RadialDistribution_RadialCV_PM_1of4,0.0,Cells,RadialDistribution,RadialCV,PM,372
Nuclei_Texture_InfoMeas1_PM_3_00_256,0.0,Nuclei,Texture,InfoMeas1,PM,373
Nuclei_Texture_Contrast_ER_3_03_256,0.0,Nuclei,Texture,Contrast,ER,374
Cytoplasm_Intensity_StdIntensityEdge_Mitochondria,0.0,Cytoplasm,Intensity,StdIntensityEdge,Mitochondria,375
Nuclei_Texture_Contrast_Actin_3_00_256,0.0,Nuclei,Texture,Contrast,Actin,376
Cytoplasm_RadialDistribution_RadialCV_PM_1of4,0.0,Cytoplasm,RadialDistribution,RadialCV,PM,377
Nuclei_AreaShape_Zernike_7_7,0.0,Nuclei,AreaShape,Zernike,7,378
Cells_RadialDistribution_FracAtD_ER_3of4,0.0,Cells,RadialDistribution,FracAtD,ER,379
Nuclei_Texture_InfoMeas2_Mitochondria_3_02_256,0.0,Nuclei,Texture,InfoMeas2,Mitochondria,380
Cytoplasm_Texture_Entropy_Mitochondria_3_00_256,0.0,Cytoplasm,Texture,Entropy,Mitochondria,381
Nuclei_RadialDistribution_ZernikeMagnitude_Mitochondria_5_3,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Mitochondria,382
Cytoplasm_RadialDistribution_ZernikeMagnitude_PM_1_1,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,PM,383
Nuclei_Texture_InfoMeas1_Hoechst_3_03_256,0.0,Nuclei,Texture,InfoMeas1,Hoechst,384
Cytoplasm_Texture_InverseDifferenceMoment_Mitochondria_3_00_256,0.0,Cytoplasm,Texture,InverseDifferenceMoment,Mitochondria,385
Cells_Texture_Contrast_Hoechst_3_00_256,0.0,Cells,Texture,Contrast,Hoechst,386
Nuclei_AreaShape_Zernike_0_0,0.0,Nuclei,AreaShape,Zernike,0,387
Cytoplasm_Texture_InfoMeas1_Hoechst_3_01_256,0.0,Cytoplasm,Texture,InfoMeas1,Hoechst,388
Nuclei_Correlation_K_PM_Mitochondria,0.0,Nuclei,Correlation,K,PM,389
Cytoplasm_RadialDistribution_ZernikeMagnitude_Mitochondria_7_1,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Mitochondria,390
Nuclei_RadialDistribution_ZernikeMagnitude_PM_2_2,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,PM,391
Cytoplasm_Correlation_RWC_Mitochondria_PM,0.0,Cytoplasm,Correlation,RWC,Mitochondria,392
Cells_RadialDistribution_RadialCV_PM_3of4,0.0,Cells,RadialDistribution,RadialCV,PM,393
Cells_RadialDistribution_FracAtD_Mitochondria_1of4,0.0,Cells,RadialDistribution,FracAtD,Mitochondria,394
Cytoplasm_RadialDistribution_FracAtD_Actin_4of4,0.0,Cytoplasm,RadialDistribution,FracAtD,Actin,395
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_4_2,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,396
Cytoplasm_Texture_SumVariance_Actin_3_03_256,0.0,Cytoplasm,Texture,SumVariance,Actin,397
Cytoplasm_Texture_InverseDifferenceMoment_Mitochondria_3_02_256,0.0,Cytoplasm,Texture,InverseDifferenceMoment,Mitochondria,398
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_5_1,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,399
Cells_Correlation_RWC_Actin_Mitochondria,0.0,Cells,Correlation,RWC,Actin,400
Nuclei_Correlation_K_Mitochondria_Hoechst,0.0,Nuclei,Correlation,K,Mitochondria,401
Nuclei_RadialDistribution_ZernikeMagnitude_Actin_2_2,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Actin,402
Cells_RadialDistribution_ZernikeMagnitude_PM_9_3,0.0,Cells,RadialDistribution,ZernikeMagnitude,PM,403
Cytoplasm_Texture_Contrast_Hoechst_3_03_256,0.0,Cytoplasm,Texture,Contrast,Hoechst,404
Nuclei_RadialDistribution_FracAtD_Actin_3of4,0.0,Nuclei,RadialDistribution,FracAtD,Actin,405
Cytoplasm_Texture_InverseDifferenceMoment_Mitochondria_3_01_256,0.0,Cytoplasm,Texture,InverseDifferenceMoment,Mitochondria,406
Nuclei_RadialDistribution_ZernikeMagnitude_Actin_5_3,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Actin,407
Nuclei_RadialDistribution_ZernikeMagnitude_Mitochondria_6_6,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Mitochondria,408
Nuclei_Texture_Contrast_ER_3_00_256,0.0,Nuclei,Texture,Contrast,ER,409
Cytoplasm_RadialDistribution_ZernikeMagnitude_PM_2_2,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,PM,410
Nuclei_RadialDistribution_ZernikeMagnitude_PM_5_3,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,PM,411
Nuclei_RadialDistribution_ZernikeMagnitude_Mitochondria_7_7,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Mitochondria,412
Cytoplasm_RadialDistribution_MeanFrac_Mitochondria_3of4,0.0,Cytoplasm,RadialDistribution,MeanFrac,Mitochondria,413
Cytoplasm_Texture_InverseDifferenceMoment_ER_3_03_256,0.0,Cytoplasm,Texture,InverseDifferenceMoment,ER,414
Nuclei_AreaShape_Zernike_2_0,0.0,Nuclei,AreaShape,Zernike,2,415
Cytoplasm_RadialDistribution_RadialCV_PM_2of4,0.0,Cytoplasm,RadialDistribution,RadialCV,PM,416
Nuclei_RadialDistribution_ZernikeMagnitude_Mitochondria_7_1,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Mitochondria,417
Nuclei_Texture_InfoMeas1_Actin_3_01_256,0.0,Nuclei,Texture,InfoMeas1,Actin,418
Nuclei_RadialDistribution_ZernikeMagnitude_ER_4_4,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,ER,419
Cells_RadialDistribution_ZernikeMagnitude_Actin_3_3,0.0,Cells,RadialDistribution,ZernikeMagnitude,Actin,420
Cells_RadialDistribution_ZernikeMagnitude_PM_6_0,0.0,Cells,RadialDistribution,ZernikeMagnitude,PM,421
Nuclei_Correlation_RWC_PM_Hoechst,0.0,Nuclei,Correlation,RWC,PM,422
Cytoplasm_RadialDistribution_ZernikeMagnitude_PM_7_3,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,PM,423
Nuclei_RadialDistribution_ZernikeMagnitude_Actin_1_1,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Actin,424
Nuclei_RadialDistribution_ZernikeMagnitude_ER_3_3,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,ER,425
Cytoplasm_RadialDistribution_ZernikeMagnitude_Actin_8_0,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Actin,426
Cytoplasm_Correlation_RWC_ER_Hoechst,0.0,Cytoplasm,Correlation,RWC,ER,427
Nuclei_Correlation_Correlation_Actin_Hoechst,0.0,Nuclei,Correlation,Correlation,Actin,428
Nuclei_RadialDistribution_ZernikeMagnitude_Actin_4_4,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Actin,429
Cytoplasm_RadialDistribution_ZernikeMagnitude_Mitochondria_5_5,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Mitochondria,430
Nuclei_RadialDistribution_ZernikeMagnitude_ER_5_3,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,ER,431
Cytoplasm_RadialDistribution_MeanFrac_PM_2of4,0.0,Cytoplasm,RadialDistribution,MeanFrac,PM,432
Nuclei_Texture_InverseDifferenceMoment_Mitochondria_3_00_256,0.0,Nuclei,Texture,InverseDifferenceMoment,Mitochondria,433
Cytoplasm_RadialDistribution_RadialCV_Mitochondria_1of4,0.0,Cytoplasm,RadialDistribution,RadialCV,Mitochondria,434
Cells_RadialDistribution_ZernikeMagnitude_Mitochondria_7_1,0.0,Cells,RadialDistribution,ZernikeMagnitude,Mitochondria,435
Cells_RadialDistribution_RadialCV_ER_2of4,0.0,Cells,RadialDistribution,RadialCV,ER,436
Nuclei_RadialDistribution_ZernikeMagnitude_ER_3_1,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,ER,437
Cells_RadialDistribution_MeanFrac_PM_2of4,0.0,Cells,RadialDistribution,MeanFrac,PM,438
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_4_2,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,439
Cells_Intensity_IntegratedIntensity_Hoechst,0.0,Cells,Intensity,IntegratedIntensity,Hoechst,440
Cytoplasm_RadialDistribution_MeanFrac_Actin_3of4,0.0,Cytoplasm,RadialDistribution,MeanFrac,Actin,441
Cytoplasm_RadialDistribution_ZernikeMagnitude_Mitochondria_3_1,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Mitochondria,442
Nuclei_Texture_InfoMeas1_Hoechst_3_01_256,0.0,Nuclei,Texture,InfoMeas1,Hoechst,443
Nuclei_Texture_DifferenceEntropy_ER_3_00_256,0.0,Nuclei,Texture,DifferenceEntropy,ER,444
Nuclei_RadialDistribution_MeanFrac_Hoechst_1of4,0.0,Nuclei,RadialDistribution,MeanFrac,Hoechst,445
Cytoplasm_Texture_InfoMeas2_Mitochondria_3_02_256,0.0,Cytoplasm,Texture,InfoMeas2,Mitochondria,446
